,value
alpha_daily,-0.00012329264296046568
alpha_annualized,-0.03106974602603735
alpha_pvalue,0.7823404365289381
beta,0.9239892257256552
beta_pvalue,9.774740348152869e-74
r_squared,0.2785796646996529
