,"Stat-arb portfolio (5 pairs, equal-weight)",Equal-weight benchmark
total_return,0.15653851909158822,0.6607609630741917
annualized_return,0.03680383119222097,0.13435994760711312
annualized_volatility,0.043462028401086025,0.15120440691125545
sharpe_ratio,0.8533366552719369,0.9094991320031106
sortino_ratio,1.2880957278756044,1.2426636015668608
calmar_ratio,0.8184938558321384,0.687731068274896
max_drawdown,-0.04496531150475602,-0.195366988355116
avg_drawdown,-0.01142367379884603,-0.04487093630965708
win_rate,0.504930966469428,0.5374753451676528
profit_factor,1.1713730689149695,1.1762470350575283
skewness,0.6031765421711464,-0.021321222918570866
kurtosis,9.194452062754271,6.805807855730508
n_days,1014.0,1014.0
