,mean_ic,ic_std,ic_ir,hit_rate,n_days
Ridge,0.015708018099196416,0.23805662197061006,0.06598437787265457,0.5290620871862616,1514.0
LightGBM,0.0099480250090834,0.20030621887832972,0.049664084643952285,0.5,1514.0
Logistic,0.015985287395961473,0.23547877297405567,0.06788419692386745,0.5198150594451784,1514.0
Ensemble,0.0181585130584412,0.23690106285540957,0.07665019666680047,0.5198150594451784,1514.0
