n_long_short,rebalance_freq,ann_return,sharpe,max_drawdown,mean_turnover
5,5,0.05416106029004508,0.32508687760349686,-0.40667650720494297,0.4428571428571429
5,10,0.2267089388347343,0.7245332292061999,-0.2901437737265524,0.27142857142857146
5,21,0.004832972961701154,0.19107577052998898,-0.4150707314577319,0.13968253968253969
10,5,0.01166653920391969,0.1907347353417631,-0.3254573878300667,0.40634920634920635
10,10,0.1041824549055892,0.4726319355262065,-0.32092827813920466,0.2507936507936508
10,21,0.04985269321537822,0.31168219441095796,-0.24598523832467611,0.1253968253968254
15,5,0.060737153634226715,0.3480738639210274,-0.2786516962134903,0.3806878306878307
15,10,0.07934775033143637,0.41805867244028494,-0.2761815445509588,0.23730158730158735
15,21,-0.0024687088437526095,0.10960934556194436,-0.2378235908838814,0.11772486772486775
20,5,0.05408313756022598,0.3332616122953975,-0.23549397856004206,0.356547619047619
20,10,0.1117764253085276,0.5676727779056433,-0.23296141470503107,0.22222222222222218
20,21,-0.0006432909463929271,0.10142109351309928,-0.2536025408275532,0.1103174603174603
